STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE
48,1,950100,4685,31.999364,-95.531821
48,1,950401,5422,31.755614,-95.823901
48,1,950402,7535,31.784637,-95.902841
48,1,950500,4377,31.776938,-95.631712
48,1,950600,6405,31.747594,-95.666055
48,1,950700,2640,31.753973,-95.632341
48,1,950800,5246,31.74404,-95.614669
48,1,950901,5938,31.733666,-95.726988
48,1,950902,4834,31.794552,-95.573607
48,1,951000,6988,31.631683,-95.547846
48,1,951100,4388,31.908451,-95.811453
48,3,950100,1678,32.34182,-102.557646
48,3,950200,6473,32.328108,-102.553267
48,3,950300,3924,32.315355,-102.550083
48,3,950400,2711,32.302912,-102.494399
48,5,101,6311,31.426703,-94.820993
48,5,102,4447,31.339704,-94.831644
48,5,200,6580,31.349669,-94.679339
48,5,301,5326,31.368774,-94.777327
48,5,302,4613,31.300936,-94.780203
48,5,400,5479,31.340195,-94.748676
48,5,500,4006,31.361285,-94.73514
48,5,600,6416,31.348284,-94.704444
48,5,700,3292,31.336123,-94.725415
48,5,800,6299,31.316374,-94.707925
48,5,901,6342,31.315576,-94.750119
48,5,902,3745,31.283367,-94.726676
48,5,1001,5377,31.194671,-94.793822
48,5,1002,4289,31.190839,-94.741161
48,5,1100,6079,31.308321,-94.603119
48,5,1200,2989,31.160202,-94.387148
48,5,1300,5181,31.259056,-94.524004
48,7,950100,5495,28.088876,-97.046145
48,7,950200,1163,28.044175,-97.034851
48,7,950300,6609,28.039886,-97.058926
48,7,950400,3583,28.017569,-97.069779
48,7,950500,6308,27.973067,-97.115835
48,7,990000,0,27.930529,-96.938114
48,9,20100,2660,33.809427,-98.561486
48,9,20200,2780,33.748319,-98.729774
48,9,20300,3614,33.593539,-98.554513
48,11,950100,1901,35.085722,-101.392092
48,13,960100,6972,28.985503,-98.432076
48,13,960201,6234,29.194769,-98.758454
48,13,960202,9342,29.12962,-98.625598
48,13,960300,3595,29.039325,-98.57632
48,13,960401,2294,29.117415,-98.505424
48,13,960402,7801,28.966066,-98.499856
48,13,960500,2684,28.871198,-98.702975
48,13,960600,5989,28.904997,-98.547336
48,15,760100,2400,29.643339,-96.07996
48,15,760200,6032,29.776836,-96.119315
48,15,760300,7037,29.782621,-96.199578
48,15,760400,3660,29.961463,-96.461046
48,15,760501,4184,30.00061,-96.268638
48,15,760502,5104,29.941278,-96.231129
48,17,950100,7165,34.216557,-102.745529
48,19,101,4330,29.71453,-99.034317
48,19,102,4913,29.767409,-99.045034
48,19,200,2726,29.779816,-99.325756
48,19,300,6369,29.655215,-98.937298
48,19,400,2147,29.581768,-98.944461
48,21,950100,8608,30.289893,-97.358593
48,21,950200,7955,30.350023,-97.37637
48,21,950300,12927,30.110441,-97.425839
48,21,950400,7984,30.105307,-97.308481
48,21,950501,8008,30.192051,-97.296557
48,21,950502,6409,30.143604,-97.215473
48,21,950600,5184,29.995243,-97.219435
48,21,950700,4189,30.006747,-97.154312
48,21,950801,6520,30.092171,-97.550323
48,21,950802,6387,30.014152,-97.539339
48,23,950300,3726,33.596338,-99.26133
48,25,950100,2002,28.59348,-97.853921
48,25,950201,7928,28.373413,-97.686691
48,25,950202,5059,28.417724,-97.772577
48,25,950300,5093,28.416514,-97.751069
48,25,950400,2006,28.404901,-97.748262
48,25,950500,7343,28.393642,-97.741683
48,25,950600,2430,28.227142,-97.676841
48,27,20100,6219,31.170783,-97.274699
48,27,20201,6017,31.132256,-97.467729
48,27,20202,6574,31.188315,-97.45627
48,27,20300,7838,31.115638,-97.426721
48,27,20401,3008,31.121419,-97.360518
48,27,20402,2803,31.107808,-97.312534
48,27,20500,3810,31.11316,-97.332557
48,27,20600,2574,31.113562,-97.341707
48,27,20701,1343,31.100313,-97.341658
48,27,20702,2172,31.094805,-97.351686
48,27,20800,3528,31.082881,-97.326758
48,27,20900,2998,31.07433,-97.340172
48,27,21000,4610,31.082289,-97.354177
48,27,21100,5402,31.087041,-97.372603
48,27,21201,3021,31.11328,-97.386277
48,27,21202,4130,31.102865,-97.379961
48,27,21203,4298,31.083026,-97.395276
48,27,21301,4796,31.058065,-97.381208
48,27,21302,2865,31.069694,-97.388688
48,27,21303,6153,31.053665,-97.372815
48,27,21400,3834,30.998882,-97.346297
48,27,21500,6538,31.036926,-97.469166
48,27,21601,5080,31.057297,-97.472823
48,27,21602,2499,31.067643,-97.469495
48,27,21700,7338,31.086547,-97.473432
48,27,21800,8440,31.068079,-97.586021
48,27,21901,3463,31.077948,-97.664855
48,27,21903,8350,31.058776,-97.664952
48,27,21904,8823,31.059108,-97.638587
48,27,22000,7952,31.09898,-97.62835
48,27,22101,4256,31.12626,-97.700525
48,27,22103,5518,31.132509,-97.691247
48,27,22104,4399,31.119424,-97.676664
48,27,22105,2317,31.126662,-97.672939
48,27,22200,3258,31.11543,-97.698691
48,27,22300,4010,31.10106,-97.697108
48,27,22401,5567,31.094933,-97.7073
48,27,22402,4402,31.051337,-97.690137
48,27,22403,4513,31.068379,-97.704495
48,27,22404,7400,31.064895,-97.6929
48,27,22405,1750,31.082647,-97.714547
48,27,22501,3423,31.102476,-97.724331
48,27,22502,9542,31.065846,-97.727099
48,27,22600,4292,31.123213,-97.717395
48,27,22801,2540,31.130603,-97.729071
48,27,22900,3672,31.111565,-97.738233
48,27,23000,7028,31.084985,-97.742488
48,27,23103,4467,31.097239,-97.753875
48,27,23104,3235,31.106244,-97.757378
48,27,23105,8805,31.077184,-97.795878
48,27,23106,9716,31.100973,-97.794497
48,27,23107,7105,31.087168,-97.759554
48,27,23108,13856,31.099269,-97.776355
48,27,23201,2684,31.128784,-97.754676
48,27,23202,5198,31.125635,-97.77662
48,27,23203,2909,31.116777,-97.753153
48,27,23204,4486,31.137741,-97.73457
48,27,23300,6966,31.004582,-97.787741
48,27,23402,4862,30.914928,-97.30513
48,27,23403,5400,30.958421,-97.513517
48,27,23404,3709,30.90635,-97.556911
48,27,23500,2155,31.124454,-97.735639
48,27,980001,319,31.082451,-97.84545
48,27,980002,0,31.068779,-97.829099
48,27,980003,0,31.161555,-97.599169
48,29,110100,3379,29.426887,-98.49344
48,29,110300,2542,29.413645,-98.481576
48,29,110500,2238,29.419314,-98.510832
48,29,110600,7553,29.42949,-98.507298
48,29,110700,1398,29.437044,-98.500754
48,29,110800,1965,29.442647,-98.492175
48,29,110900,549,29.441035,-98.484852
