OBJECTID,LONGITUDE,LATITUDE,city_1,state,zip
1,-96.792901,32.694108,DALLAS,TX,75216
2,-106.461451,31.818872,EL PASO,TX,79930
3,-97.162212,33.645364,GAINESVILLE,TX,76240
4,-98.55091,33.871837,WICHITA FALLS,TX,76308
5,-95.847853,32.168791,ATHENS,TX,75751
6,-97.668091,26.166017,HARLINGEN,TX,78550
7,-94.775549,29.31111,GALVESTON,TX,77555
8,-98.502397,33.913205,WICHITA FALLS,TX,76301
9,-95.569862,29.991885,HOUSTON,TX,77070
10,-106.434234,31.772674,EL PASO,TX,79905
11,-96.571914,33.701217,DENISON,TX,75020
12,-95.407229,29.706364,HOUSTON,TX,77030
13,-95.461051,29.648207,HOUSTON,TX,77035
14,-96.958855,32.908941,IRVING,TX,75063
15,-100.913721,29.386028,DEL RIO,TX,78840
16,-97.142387,32.611281,MANSFIELD,TX,76063
17,-98.573811,29.507791,SAN ANTONIO,TX,78229
18,-95.39694,29.706353,HOUSTON,TX,77030
19,-97.748986,30.353278,AUSTIN,TX,78731
20,-95.418292,29.817438,HOUSTON,TX,77018
21,-98.203892,26.253823,EDINBURG,TX,78539
22,-95.475022,29.707468,HOUSTON,TX,77081
23,-95.049721,29.818973,HIGHLANDS,TX,77562
24,-97.420042,32.665949,FORT WORTH,TX,76132
25,-94.367831,32.537293,MARSHALL,TX,75670
26,-95.688099,29.563648,SUGAR LAND,TX,77479
27,-94.845692,29.276107,GALVESTON,TX,77555
28,-97.748986,30.353278,AUSTIN,TX,78731
29,-96.792901,32.694108,DALLAS,TX,75216
30,-96.879282,32.647463,DALLAS,TX,75237
31,-96.803528,32.914561,DALLAS,TX,75230
32,-102.289616,31.921595,ODESSA,TX,79765
33,-97.111368,32.691141,ARLINGTON,TX,76014
34,-97.114752,32.691951,ARLINGTON,TX,76015
35,-106.499399,31.77127,EL PASO,TX,79902
36,-106.514346,31.818987,EL PASO,TX,77912
37,-95.650275,29.586487,SUGARLAND,TX,77479
38,-95.396822,29.714726,HOUSTON,TX,77030
39,-94.168763,30.116383,BEAUMONT,TX,77706
40,-97.703812,30.412746,AUSTIN,TX,78758
41,-97.343749,32.734544,FORT WORTH,TX,76104
42,-96.83884,32.812892,DALLAS,TX,75390
43,-97.501092,25.979557,BROWNSVILLE,TX,78526
44,-95.397251,29.682263,HOUSTON,TX,77054
45,-96.959251,32.834862,IRVING,TX,75061
46,-95.455982,29.682755,HOUSTON,TX,77096
47,-95.214613,29.583912,HOUSTON,TX,77089
48,-97.336362,32.397779,KEENE,TX,76059
49,-95.41468,29.949228,HOUSTON,TX,77060
50,-97.39533,27.777473,CORPUS CHRISTI,TX,78404
51,-98.312882,26.195586,MISSION,TX,78572
52,-94.775549,29.31111,GALVESTON,TX,77555
53,-95.526033,29.689529,HOUSTON,TX,77074
54,-95.401396,29.709996,HOUSTON,TX,77030
55,-98.588356,29.510016,SAN ANTONIO,TX,78229
56,-95.539726,30.181828,THE WOODLANDS,TX,77382
57,-96.568891,32.907477,ROWLETT,TX,75088
58,-97.400748,27.771676,CORPUS CHRISTI,TX,78404
59,-97.39859,27.778933,CORPUS CHRISTI,TX,78404
60,-95.540912,29.727603,HOUSTON,TX,77042
61,-106.559029,31.835337,EL PASO,TX,79916
62,-95.426921,30.025078,HOUSTON,TX,77073
63,-97.97635,26.151933,WESLACO,TX,78596
64,-95.223118,30.052982,KINGWOOD,TX,77339
65,-96.440825,32.864864,HEATH,TX,75032
66,-96.595571,32.835373,GARLAND,TX,75043
67,-96.313862,30.638325,COLLEGE STATION,TX,77840
68,-97.363404,32.602961,CROWLEY,TX,76036
69,-98.540002,29.526101,SAN ANTONIO,TX,78230
70,-102.297692,31.899129,ODESSA,TX,79765
71,-95.39694,29.706353,HOUSTON,TX,77030
72,-97.074491,33.052937,FLOWER MOUND,TX,75028
73,-97.517254,25.977712,BROWNSVILLE,TX,78526
74,-97.346179,32.730614,FORT WORTH,TX,76104
75,-97.312401,32.536553,BURLESON,TX,76028
76,-98.569421,34.098347,BURKBURNETT,TX,76354
77,-94.349673,32.537517,MARSHALL,TX,75670
78,-95.745592,29.775048,KATY,TX,77450
79,-98.59602,29.516902,SAN ANTONIO,TX,78248
80,-96.34537,30.651244,BRYAN,TX,77802
81,-98.680971,29.752129,BOERNE,TX,78015
82,-96.662034,32.91765,GARLAND,TX,75042
83,-102.011837,33.489113,WOLFFORTH,TX,79382
84,-97.416012,27.779108,CORPUS CHRISTI,TX,78405
85,-95.397802,29.685318,HOUSTON,TX,77030
86,-94.42958,30.776651,WOODVILLE,TX,75979
87,-98.381743,29.570818,SAN ANTONIO,TX,78247
88,-97.003666,33.044573,LEWISVILLE,TX,75057
